"","formula","GPR","expression_type","flux_type","correlated","predicted_by_default_FPA","PCC_by_target_expression","FDR_by_target_expression","PCC_by_default_FPA","FDR_by_default_FPA","predicted_by_optimal_boundary_FPA","maxPCC","coexpressionPCC","coexpressionPval"
"r_0984","D-ribulose 5-phosphate [cytoplasm]  <=> D-xylulose 5-phosphate [cytoplasm] ","YJL121C","Low Variability","Low Diversity","No","No",-0.0450840311736245,0.906061619447102,-0.0934997911590568,0.748441651602373,"No",0.0148654909451399,0.151538146467736,0.469623354737889
"r_0988","H2O [cytoplasm] + L-saccharopine [cytoplasm] + NAD [cytoplasm]  -> 2-oxoglutarate [cytoplasm] + H+ [cytoplasm] + L-lysine [cytoplasm] + NADH [cytoplasm] ","YIR034C","High Diversity","High Diversity","No","Yes",0.330444824085297,0.218959675383541,0.58769617000952,0.0065644935714328,"Yes",0.640575117571898,0.312219414314364,0.128649073990603
"r_0989","H+ [cytoplasm] + L-allysine [cytoplasm] + L-glutamate [cytoplasm] + NADPH [cytoplasm]  -> H2O [cytoplasm] + L-saccharopine [cytoplasm] + NADP(+) [cytoplasm] ","YNR050C","High Diversity","High Diversity","No","Yes",0.438173239336606,0.0704797651484006,0.579783921541219,0.00732515628080279,"Yes",0.637874268983847,0.311603739452537,0.129444681773585
"r_0990","sedoheptulose 1,7-bisphosphate [cytoplasm]  <=> D-erythrose 4-phosphate [cytoplasm] + dihydroxyacetone phosphate [cytoplasm] ","YKL060C","High Diversity","Low Diversity","No","No",-0.258705271401523,0.384577469909194,-0.150230789635466,0.601101244255941,"No",-0.0691196240610022,-0.0937156109025754,0.655906832733531
"r_0996","3-dehydroshikimate [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm]  -> NADP(+) [cytoplasm] + shikimate [cytoplasm] ","YDR127W","High Diversity","High Diversity","Yes","Yes",0.712789492906201,0.000450025235034885,0.667428057048337,0.00135110898334563,"Yes",0.718787208923098,0.667138331026517,0.000269926547127838
"r_0997","ATP [cytoplasm] + shikimate [cytoplasm]  -> 3-phosphoshikimic acid [cytoplasm] + ADP [cytoplasm] + H+ [cytoplasm] ","YDR127W","High Diversity","High Diversity","Yes","Yes",0.71045913919726,0.000450025235034885,0.67649872879768,0.00108608180164578,"Yes",0.717982805520424,0.665106087443778,0.000286207941888968
"r_1021","succinate [mitochondrion] + ubiquinone-6 [mitochondrion]  <=> fumarate [mitochondrion] + ubiquinol-6 [mitochondrion] ","(( YDR178W and YJL045W and YKL141W and YLL041C ) or ( YDR178W and YKL141W and YKL148C and YLL041C ) or ( YLR164W and YJL045W and YKL141W and YLL041C ))","Not measured","High Diversity","No","No",NA,NA,0.21246259628655,0.423869260572949,"Yes",0.60055137977038,0.256272634336242,0.216257921826849
"r_1022","ADP [mitochondrion] + phosphate [mitochondrion] + succinyl-CoA [mitochondrion]  -> ATP [mitochondrion] + coenzyme A [mitochondrion] + succinate [mitochondrion] ","( YGR244C and YOR142W )","High Diversity","High Diversity","Yes","No",0.476709139485693,0.0422603604305632,0.401397553218103,0.0952490075950679,"Yes",0.47659232912217,0.232765223538227,0.26283793259392
"r_1026","ADP [cytoplasm] + H+ [cytoplasm] + sulphate [cytoplasm]  -> 5'-adenylyl sulfate [cytoplasm] + phosphate [cytoplasm] ","YCL050C","High Diversity","High Diversity","No","No",-0.0107323167569288,0.988246525616098,0.0466357985198854,0.839423771065272,"No",0.314960084372235,-0.132361089204677,0.528231386057083
"r_1027","5 H+ [cytoplasm] + 3 NADPH [cytoplasm] + sulphite [cytoplasm]  -> 3 H2O [cytoplasm] + hydrogen sulfide [cytoplasm] + 3 NADP(+) [cytoplasm] ","( YFR030W and YJR137C )","High Diversity","High Diversity","No","No",-0.365671693718404,0.16099407248726,-0.0840169570480561,0.765512055475189,"No",0.11980232285537,-0.136963847841253,0.513855117798397
"r_1038","H+ [cytoplasm] + NADPH [cytoplasm] + TRX1 disulphide [cytoplasm]  -> NADP(+) [cytoplasm] + TRX1 [cytoplasm] ","(( YDR353W and YGR209C ) or ( YDR353W and YLR043C ) or YDR353W )","Low Diversity","High Diversity","No","No",-0.225706118075669,0.425172369831704,-0.367806437780731,0.133385391778603,"No",-0.122957211378839,NA,NA
"r_1041","H2O [cytoplasm] + O-phospho-L-homoserine [cytoplasm]  -> L-threonine [cytoplasm] + phosphate [cytoplasm] ","YCR053W","High Diversity","High Diversity","No","No",0.234417207641225,0.420348822465427,0.196954621062142,0.460468672324675,"No",0.287608397021566,0.41286951356721,0.0402476899280718
"r_1045","5,10-methylenetetrahydrofolate [cytoplasm] + dUMP [cytoplasm]  -> dihydrofolic acid [cytoplasm] + dTMP [cytoplasm] ","YOR074C","High Diversity","High Diversity","No","No",-0.1586382834981,0.583454398943946,-0.687505498548852,0.00083852354160777,"No",-0.158691683983308,-0.459841755934249,0.0207355867486112
"r_1049","D-xylulose 5-phosphate [cytoplasm] + ribose-5-phosphate [cytoplasm]  <=> glyceraldehyde 3-phosphate [cytoplasm] + sedoheptulose 7-phosphate [cytoplasm] ","( YBR117C or YPR074C )","Low Diversity","Low Diversity","No","No",-0.0138127235789964,0.988246525616098,-0.0842044206790383,0.765512055475189,"No",0.0837198890587933,0.129168040327432,0.538315522968281
"r_1050","D-erythrose 4-phosphate [cytoplasm] + D-xylulose 5-phosphate [cytoplasm]  <=> D-fructose 6-phosphate [cytoplasm] + glyceraldehyde 3-phosphate [cytoplasm] ","( YBR117C or YPR074C )","Low Diversity","Low Diversity","No","No",0.360962369382905,0.167585638835396,0.13969795608878,0.630271439996942,"No",0.360962328593097,-0.0860647022132117,0.682500769068248
"r_1051","alpha,alpha-trehalose 6-phosphate [cytoplasm] + H2O [cytoplasm]  -> phosphate [cytoplasm] + trehalose [cytoplasm] ","(( YBR126C and YDR074W and YML100W ) or ( YBR126C and YDR074W and YMR261C ))","High Diversity","Low Diversity","Yes","Yes",0.705437327966031,0.000511200758823769,0.669722158370585,0.00129473731568014,"Yes",0.705436628839246,NA,NA
"r_1054","dihydroxyacetone phosphate [cytoplasm]  <=> glyceraldehyde 3-phosphate [cytoplasm] ","YDR050C","High Diversity","Low Diversity","Yes","No",0.500904526320223,0.029964747257214,0.350540791901816,0.156810677812399,"Yes",0.573841209819464,0.322988034561775,0.115300781063866
"r_1055","1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm] + L-serine [cytoplasm]  -> glyceraldehyde 3-phosphate [cytoplasm] + H2O [cytoplasm] + L-tryptophan [cytoplasm] ","YGL026C","High Diversity","High Diversity","No","No",-0.0123535362619924,0.988246525616098,0.171660511711869,0.539087264192043,"No",0.207411844853089,0.107867372214763,0.607792892046855
"r_1072","ATP [cytoplasm] + UMP [cytoplasm]  -> ADP [cytoplasm] + UDP [cytoplasm] ","YKL024C","High Diversity","High Diversity","No","No",-0.124785713265494,0.667898305905114,-0.0650179106315558,0.791077701794939,"No",0.189961800540226,-0.060492623482637,0.773927699356069
"r_1074","PRPP [cytoplasm] + uracil [cytoplasm]  -> diphosphate [cytoplasm] + UMP [cytoplasm] ","YHR128W","High Diversity","Low Diversity","No","No",0.461054759433759,0.0520666651105425,0.361268746045769,0.141343643680544,"No",0.461054600152323,-0.192405531429573,0.35682822960467
"r_1084","D-glucose 1-phosphate [cytoplasm] + H+ [cytoplasm] + UTP [cytoplasm]  <=> diphosphate [cytoplasm] + UDP-D-glucose [cytoplasm] ","( YHL012W or YKL035W )","Not measured","High Diversity","No","No",NA,NA,-0.35802683215796,0.145397910662475,"No",-0.254787603715515,NA,NA
"r_1088","2-oxoglutarate [mitochondrion] + L-valine [mitochondrion]  <=> 3-methyl-2-oxobutanoate [mitochondrion] + L-glutamate [mitochondrion] ","YHR208W","Low Diversity","High Diversity","No","Yes",0.425103386498994,0.0819458107101284,0.507742787915558,0.0235875899648362,"Yes",0.614334797441678,0.397980099683647,0.0488060295037411
"r_1106","acetate [cytoplasm]  <=> acetate [extracellular] ","YCR010C","Not measured","Low Diversity","No","No",NA,NA,-0.372480704928307,0.127566564900343,"Yes",0.504866186076224,NA,NA
"r_1110","ADP [cytoplasm] + ATP [mitochondrion]  <=> ADP [mitochondrion] + ATP [cytoplasm] ","( YBL030C or YBR085W or YMR056C )","Not measured","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1115","ammonium [extracellular]  <=> ammonium [cytoplasm] ","( YDR384C or YGR121C or YNL142W or YPR138C )","Not measured","High Diversity","No","Yes",NA,NA,0.488139865672718,0.0309879470754493,"Yes",0.698424759187409,NA,NA
"r_1136","(R)-lactate [extracellular] + H+ [extracellular]  <=> (R)-lactate [cytoplasm] + H+ [cytoplasm] ","YKL217W","Low Diversity","Low Diversity","No","No",-0.511002218837789,0.0281322869264951,-0.556779789118249,0.0105790601083349,"No",-0.425664559272979,NA,NA
"r_1166","D-glucose [extracellular]  -> D-glucose [cytoplasm] ","( YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W or YDR387C )","Not measured","High Diversity","No","Yes",NA,NA,0.737406822463524,0.000204482412450591,"Yes",0.802293044758082,NA,NA
"r_1172","glycerol [cytoplasm]  -> glycerol [extracellular] ","( YFL054C or YLL043W )","Not measured","Low Diversity","No","No",NA,NA,0.760476045806439,8.68987139060619e-05,"No",0.725992406570158,NA,NA
"r_1211","H+ [extracellular] + L-leucine [extracellular]  <=> H+ [cytoplasm] + L-leucine [cytoplasm] ","( YBR068C or YBR069C or YCL025C or YDR046C or YDR508C or YKR039W )","Not measured","Low Diversity","No","Yes",NA,NA,0.946181735357872,9.88502205791382e-11,"Yes",0.987945006705834,NA,NA
"r_1237","H+ [cytoplasm] + ornithine [mitochondrion]  -> H+ [mitochondrion] + ornithine [cytoplasm] ","YOR130C","Not measured","High Diversity","No","Yes",NA,NA,0.756946034624826,9.70053079750604e-05,"Yes",0.872499145409896,0.759343053862116,1.07532277121429e-05
"r_1244","H+ [extracellular] + phosphate [extracellular]  <=> H+ [cytoplasm] + phosphate [cytoplasm] ","( YBR296C or YCR037C or YJL198W or YML123C or YNR013C )","Not measured","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1245","H+ [cytoplasm] + phosphate [cytoplasm]  -> H+ [mitochondrion] + phosphate [mitochondrion] ","( YER053C or YJR077C )","Not measured","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1266","sulphate [extracellular]  -> sulphate [cytoplasm] ","( YBR294W or YLR092W )","Not measured","High Diversity","No","No",NA,NA,-0.119245876808587,0.690773183621667,"No",0.18616832813962,NA,NA
"r_1272","H+ [extracellular] + uracil [extracellular]  -> H+ [cytoplasm] + uracil [cytoplasm] ","YBR021W","Not measured","Low Diversity","No","Yes",NA,NA,0.972493089983694,1.00017001950286e-13,"Yes",0.973852895815326,NA,NA
"r_1277","H2O [extracellular]  <=> H2O [cytoplasm] ","( YLL052C or YPR192W )","Not measured","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1543","(1->3)-beta-D-glucan [cell envelope]  <=> (1->3)-beta-D-glucan [cytoplasm] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1574","2-isopropylmalate [cytoplasm]  <=> 2-isopropylmalate [mitochondrion] ","YKL120W","Low Diversity","Low Diversity","No","No",-0.823929599119328,1.13146935305001e-05,-0.799279462506729,1.94448439519587e-05,"No",-0.746791042685549,-0.792272428820886,2.36056355134142e-06
"r_1585","2-oxobutanoate [cytoplasm]  <=> 2-oxobutanoate [mitochondrion] ","","No GPR","High Diversity","No","No",NA,NA,0.326449108749468,0.191721361511183,"No",0.421010018002067,0.19950302471058,0.339019376952165
"r_1596","(S)-3-methyl-2-oxopentanoate [cytoplasm]  <=> (S)-3-methyl-2-oxopentanoate [mitochondrion] ","","No GPR","High Diversity","No","No",NA,NA,0.314363233743375,0.206915904185984,"No",0.417194995814305,0.200967292709738,0.335412709347748
"r_1632","acetaldehyde [mitochondrion]  <=> acetaldehyde [cytoplasm] ","","No GPR","High Diversity","No","No",NA,NA,0.0779241248760784,0.773208253660255,"No",0.270138871037397,0.38666853925715,0.0562119202900595
"r_1633","acetaldehyde [extracellular]  <=> acetaldehyde [cytoplasm] ","","No GPR","Low Diversity","No","Yes",NA,NA,0.477198086538667,0.0353927370058782,"Yes",0.480736313543738,NA,NA
"r_1667","carbon dioxide [cytoplasm] + H2O [cytoplasm]  <=> bicarbonate [cytoplasm] + H+ [cytoplasm] ","YNL036W","Low Diversity","Low Diversity","No","No",-0.00645331405897726,0.988246525616098,-0.000511654587156776,0.998063304491485,"No",0.0744143034442177,NA,NA
"r_1696","carbon dioxide [cytoplasm]  <=> carbon dioxide [mitochondrion] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1697","carbon dioxide [cytoplasm]  <=> carbon dioxide [extracellular] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1748","dolichyl phosphate [cytoplasm]  <=> dolichyl phosphate [endoplasmic reticulum] ","","No GPR","High Diversity","No","No",NA,NA,-0.251024101217294,0.332929332816686,"Yes",0.788698421884901,NA,NA
"r_1762","ethanol [cytoplasm]  <=> ethanol [extracellular] ","","No GPR","High Diversity","No","No",NA,NA,0.129167749084236,0.667386472118912,"No",0.480160636233636,NA,NA
"r_1824","H+ [extracellular]  -> H+ [cytoplasm] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1825","H+ [cytoplasm]  <=> H+ [endoplasmic reticulum] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_1838","2-oxoglutarate [mitochondrion] + acetyl-CoA [mitochondrion] + H2O [mitochondrion]  -> coenzyme A [mitochondrion] + H+ [mitochondrion] + homocitrate [mitochondrion] ","( YDL131W or YDL182W )","High Diversity","High Diversity","No","Yes",0.249708834055576,0.405358218153483,0.45290484524654,0.0492459336254608,"Yes",0.561847968307477,0.310720266296457,0.13059257052004
"r_1887","L-glutamic 5-semialdehyde [cytoplasm]  <=> 1-pyrroline-5-carboxylate [cytoplasm] + H+ [cytoplasm] + H2O [cytoplasm] ","","No GPR","High Diversity","No","Yes",NA,NA,0.559248724062068,0.0101995429769977,"Yes",0.646600297931157,0.598300201924102,0.00158200246695503
"r_1932","mannan [cytoplasm]  <=> mannan [endoplasmic reticulum] ","","No GPR","High Diversity","No","No",NA,NA,-0.629131438688354,0.00307563824544168,"Yes",0.733558130447188,NA,NA
"r_1936","dihydroxyacetone phosphate [cytoplasm]  -> methylglyoxal [cytoplasm] + phosphate [cytoplasm] ","","No GPR","High Diversity","No","Yes",NA,NA,0.63296296700387,0.00284459025694543,"Yes",0.718496962712859,NA,NA
"r_2034","H+ [cytoplasm] + pyruvate [cytoplasm]  -> H+ [mitochondrion] + pyruvate [mitochondrion] ","(( YGL080W and YGR243W ) or ( YGL080W and YHR162W ))","Not measured","High Diversity","No","No",NA,NA,0.33768467092475,0.175944901428086,"Yes",0.479843843413907,NA,NA
"r_2057","succinate [extracellular]  <=> succinate [cytoplasm] ","","No GPR","Low Diversity","No","No",NA,NA,-0.0480734445980908,0.839290870785419,"Yes",0.476049565537221,NA,NA
"r_2093","L-valine [cytoplasm]  <=> L-valine [mitochondrion] ","","No GPR","High Diversity","No","Yes",NA,NA,0.489034675847226,0.0308771203496759,"Yes",0.627982063626007,NA,NA
"r_2096","H2O [cytoplasm]  <=> H2O [mitochondrion] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_2115","acetaldehyde [cytoplasm] + H+ [cytoplasm] + NADH [cytoplasm]  -> ethanol [cytoplasm] + NAD [cytoplasm] ","( YBR145W or YOL086C )","High Diversity","Low Diversity","No","No",-0.265335911223817,0.379727079089756,-0.386675855520216,0.111363131487655,"No",-0.265336059021706,0.340672451379046,0.0956273255009011
"r_2132","(S)-malate [cytoplasm] + 2-oxoglutarate [mitochondrion]  -> (S)-malate [mitochondrion] + 2-oxoglutarate [cytoplasm] ","( YOR222W or YPL134C )","High Diversity","Low Diversity","No","No",-0.0897782044970431,0.768007035457138,0.0756398024042737,0.774103159678746,"No",0.104542264452387,NA,NA
"r_2140","acetyl-CoA [cytoplasm] + 21 H+ [cytoplasm] + 7 malonyl-CoA [cytoplasm] + 14 NADPH [cytoplasm]  -> 7 carbon dioxide [cytoplasm] + 7 coenzyme A [cytoplasm] + 7 H2O [cytoplasm] + 14 NADP(+) [cytoplasm] + palmitoyl-CoA [cytoplasm] ","( YKL182W and YPL231W )","High Diversity","High Diversity","No","No",-0.0475575147936783,0.902386150867816,0.270760635531468,0.290544108906734,"No",0.507435360079684,0.0961617358760484,0.647487579962353
"r_2141","acetyl-CoA [cytoplasm] + 24 H+ [cytoplasm] + 8 malonyl-CoA [cytoplasm] + 16 NADPH [cytoplasm]  -> 8 carbon dioxide [cytoplasm] + 8 coenzyme A [cytoplasm] + 8 H2O [cytoplasm] + 16 NADP(+) [cytoplasm] + stearoyl-CoA [cytoplasm] ","( YKL182W and YPL231W )","High Diversity","Low Diversity","No","No",-0.289399867013933,0.317075852090092,0.254606618872449,0.325209451964371,"No",0.448999306383332,-0.031437908100765,0.881412794657028
"r_2182","H+ [endoplasmic reticulum membrane] + palmitoyl-CoA [endoplasmic reticulum membrane] + oxygen [endoplasmic reticulum membrane] + NADH [endoplasmic reticulum membrane]  -> 2 H2O [endoplasmic reticulum membrane] + palmitoleoyl-CoA(4-) [endoplasmic reticulum membrane] + NAD [endoplasmic reticulum membrane] ","YGL055W","Not measured","High Diversity","No","No",NA,NA,0.256389233398933,0.322541159318388,"No",0.391781271042838,0.131960111864155,0.529492784712368
"r_2183","H+ [endoplasmic reticulum membrane] + stearoyl-CoA [endoplasmic reticulum membrane] + oxygen [endoplasmic reticulum membrane] + NADH [endoplasmic reticulum membrane]  -> 2 H2O [endoplasmic reticulum membrane] + NAD [endoplasmic reticulum membrane] + oleoyl-CoA [endoplasmic reticulum membrane] ","YGL055W","Not measured","Low Diversity","No","No",NA,NA,0.237513757557594,0.369824633955447,"No",0.350798901734976,-0.0117026617332712,0.955724713231503
"r_2197","coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + palmitoleate [endoplasmic reticulum membrane]  <=> palmitoleoyl-CoA(4-) [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] ","( YMR246W or YOR317W )","High Diversity","High Diversity","No","No",0.0564038212904125,0.872779125724643,0.0896780581877717,0.755411049958826,"No",0.0918496706872497,0.13102972096899,0.532425111078048
"r_2199","coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + oleate [endoplasmic reticulum membrane]  <=> oleoyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] ","( YMR246W or YOR317W )","High Diversity","Low Diversity","No","No",0.0298529375338797,0.954669715413862,0.0657632695091852,0.791077701794939,"No",0.0682906607592747,-0.0182550594109814,0.930982096707941
"r_3511","palmitoleate [cytoplasm]  <=> palmitoleate [endoplasmic reticulum membrane] ","","No GPR","High Diversity","No","No",NA,NA,0.100668963193547,0.739365520706623,"No",0.298996227673256,NA,NA
"r_3513","oleate [cytoplasm]  <=> oleate [endoplasmic reticulum membrane] ","","No GPR","Low Diversity","No","No",NA,NA,-0.073107893849471,0.779874260581468,"No",0.278074206714402,NA,NA
"r_3519","stearoyl-CoA [cytoplasm]  <=> stearoyl-CoA [endoplasmic reticulum membrane] ","","No GPR","Low Diversity","No","No",NA,NA,-0.120084905097107,0.690773183621667,"No",0.236552188654147,-0.0366180386363404,0.862042671249557
"r_3525","H+ [cytoplasm]  <=> H+ [endoplasmic reticulum membrane] ","","No GPR","Low Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_3526","H2O [cytoplasm]  <=> H2O [endoplasmic reticulum membrane] ","( YLL052C or YPR192W )","Not measured","Low Diversity","No","No",NA,NA,-0.105221530264084,0.730365375013123,"No",-0.105221530264084,NA,NA
"r_3528","coenzyme A [cytoplasm]  <=> coenzyme A [endoplasmic reticulum membrane] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_3532","NADH [cytoplasm]  <=> NADH [endoplasmic reticulum membrane] ","","No GPR","Low Diversity","No","No",NA,NA,-0.100690014075547,0.739365520706623,"No",-0.100690014075547,NA,NA
"r_3533","NAD [cytoplasm]  <=> NAD [endoplasmic reticulum membrane] ","","No GPR","Low Diversity","No","No",NA,NA,-0.106184978999077,0.730365375013123,"No",-0.106184978999077,NA,NA
"r_3536","diphosphate [cytoplasm]  <=> diphosphate [endoplasmic reticulum membrane] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_3543","ATP [cytoplasm]  <=> ATP [endoplasmic reticulum membrane] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_3544","AMP [cytoplasm]  <=> AMP [endoplasmic reticulum membrane] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"r_4039","acetate [mitochondrion] + succinyl-CoA [mitochondrion]  <=> acetyl-CoA [mitochondrion] + succinate [mitochondrion] ","YBL015W","Low Diversity","High Diversity","No","No",-0.238202355288419,0.413042060220297,-0.303961829517299,0.224235628335982,"No",-0.207290991037952,0.379613889383176,0.0612545785305052
"cstm_PPK","ATP [cytoplasm] + phosphate [cytoplasm]  -> ADP [cytoplasm] + polyphosphate [cytoplasm] ","YJL012C","Low Diversity","High Diversity","No","No",-0.632751053926168,0.00261789099959914,-0.587563236854445,0.0065644935714328,"No",-0.587296130518988,NA,NA
"cstm_misc_ATPhy","ATP [cytoplasm] + H2O [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + phosphate [cytoplasm] ","","No GPR","High Diversity","No","No",NA,NA,NA,NA,"No",0,NA,NA
"cstm_s_1269_TCE","orotate [cytoplasm]  <=> s_1269[e] ","","No GPR","Low Diversity","No","Yes",NA,NA,0.729978091885499,0.000257729710566656,"Yes",0.928872089317439,NA,NA
